name,party,firstname,lastname,position,years,key,start_date,end_date
"Anttila, Sirkka-Liisa",Keskusta,Sirkka-Liisa,Anttila,,1999-2003,Sirkka-Liisa_Anttila,24.3.1999,18.3.2003
"Aula, Maria Kaisa",Keskusta,Maria Kaisa,Aula,,1999-2003,Maria Kaisa_Aula,24.3.1999,18.3.2003
"Isohookana-Asunmaa, Tytti",Keskusta,Tytti,Isohookana-Asunmaa,,1999-2003,Tytti_Isohookana-Asunmaa,24.3.1999,18.3.2003
"Jäätteenmäki, Anneli",Keskusta,Anneli,Jäätteenmäki,,1999-2003,Anneli_Jäätteenmäki,24.3.1999,18.3.2003
"Kalli, Timo",Keskusta,Timo,Kalli,,1999-2003,Timo_Kalli,24.3.1999,18.3.2003
"Väyrynen, Paavo",Keskusta,Paavo,Väyrynen,,1999-2003,Paavo_Väyrynen,24.3.1999,18.3.2003
"Kiviniemi, Mari",Keskusta,Mari,Kiviniemi,,1999-2003,Mari_Kiviniemi,24.3.1999,18.3.2003
"Korkeaoja, Juha",Keskusta,Juha,Korkeaoja,,1999-2003,Juha_Korkeaoja,24.3.1999,18.3.2003
"Kääriäinen, Seppo",Keskusta,Seppo,Kääriäinen,,1999-2003,Seppo_Kääriäinen,24.3.1999,18.3.2003
"Lehtomäki, Paula",Keskusta,Paula,Lehtomäki,,1999-2003,Paula_Lehtomäki,24.3.1999,18.3.2003
"Manninen, Hannes",Keskusta,Hannes,Manninen,,1999-2003,Hannes_Manninen,24.3.1999,18.3.2003
"Pekkarinen, Mauri",Keskusta,Mauri,Pekkarinen,,1999-2003,Mauri_Pekkarinen,24.3.1999,18.3.2003
"Karpela, Tanja",Keskusta,Tanja,Karpela,,1999-2003,Tanja_Karpela,24.3.1999,18.3.2003
"Vanhanen, Matti",Keskusta,Matti,Vanhanen,,1999-2003,Matti_Vanhanen,24.3.1999,18.3.2003
"Vehviläinen, Anu",Keskusta,Anu,Vehviläinen,,1999-2003,Anu_Vehviläinen,24.3.1999,18.3.2003
"Takkula, Hannu",Keskusta,Hannu,Takkula,,1999-2003,Hannu_Takkula,24.3.1999,18.3.2003
"Lintilä, Mika",Keskusta,Mika,Lintilä,,1999-2003,Mika_Lintilä,24.3.1999,18.3.2003
"Aho, Hannu",Keskusta,Hannu,Aho,,1999-2003,Hannu_Aho,24.3.1999,18.3.2003
"Lahtela, Seppo",Keskusta,Seppo,Lahtela,,1999-2003,Seppo_Lahtela,24.3.1999,18.3.2003
"Huuhtanen, Jorma",Keskusta,Jorma,Huuhtanen,,1999-2003,Jorma_Huuhtanen,24.3.1999,18.3.2003
"Karjula, Kyösti",Keskusta,Kyösti,Karjula,,1999-2003,Kyösti_Karjula,24.3.1999,18.3.2003
"Kerola, Inkeri",Keskusta,Inkeri,Kerola,,1999-2003,Inkeri_Kerola,24.3.1999,18.3.2003
"Keränen, Niilo",Keskusta,Niilo,Keränen,,1999-2003,Niilo_Keränen,24.3.1999,18.3.2003
"Komi, Katri",Keskusta,Katri,Komi,,1999-2003,Katri_Komi,24.3.1999,18.3.2003
"Korteniemi, Ossi",Keskusta,Ossi,Korteniemi,,1999-2003,Ossi_Korteniemi,24.3.1999,18.3.2003
"Korva, Timo",Keskusta,Timo,Korva,,1999-2003,Timo_Korva,24.3.1999,18.3.2003
"Laukkanen, Markku",Keskusta,Markku,Laukkanen,,1999-2003,Markku_Laukkanen,24.3.1999,18.3.2003
"Leppä, Jari",Keskusta,Jari,Leppä,,1999-2003,Jari_Leppä,24.3.1999,18.3.2003
"Leppänen, Frans",Keskusta,Frans,Leppänen,,1999-2003,Frans_Leppänen,24.3.1999,18.3.2003
"Lämsä, Eero",Keskusta,Eero,Lämsä,,1999-2003,Eero_Lämsä,24.3.1999,18.3.2003
"Myllyniemi, Kari",Keskusta,Kari,Myllyniemi,,1999-2003,Kari_Myllyniemi,24.3.1999,18.3.2003
"Mölsä, Tero",Keskusta,Tero,Mölsä,,1999-2003,Tero_Mölsä,24.3.1999,18.3.2003
"Neittaanmäki, Petri",Keskusta,Petri,Neittaanmäki,,1999-2003,Petri_Neittaanmäki,24.3.1999,18.3.2003
"Nousiainen, Pekka",Keskusta,Pekka,Nousiainen,,1999-2003,Pekka_Nousiainen,24.3.1999,18.3.2003
"Oinonen, Lauri",Keskusta,Lauri,Oinonen,,1999-2003,Lauri_Oinonen,24.3.1999,18.3.2003
"Puhakka, Osmo",Keskusta,Osmo,Puhakka,,1999-2003,Osmo_Puhakka,24.3.1999,18.3.2003
"Ranta-Muotio, Aulis",Keskusta,Aulis,Ranta-Muotio,,1999-2003,Aulis_Ranta-Muotio,24.3.1999,18.3.2003
"Rantakangas, Antti",Keskusta,Antti,Rantakangas,,1999-2003,Antti_Rantakangas,24.3.1999,18.3.2003
"Rehula, Juha",Keskusta,Juha,Rehula,,1999-2003,Juha_Rehula,24.3.1999,18.3.2003
"Rossi, Markku",Keskusta,Markku,Rossi,,1999-2003,Markku_Rossi,24.3.1999,18.3.2003
"Ryynänen, Mirja",Keskusta,Mirja,Ryynänen,,1999-2003,Mirja_Ryynänen,24.3.1999,18.3.2003
"Saapunki, Pauli",Keskusta,Pauli,Saapunki,,1999-2003,Pauli_Saapunki,24.3.1999,18.3.2003
"Salo, Mauri",Keskusta,Mauri,Salo,,1999-2003,Mauri_Salo,24.3.1999,18.3.2003
"Vihriälä, Jukka",Keskusta,Jukka,Vihriälä,,1999-2003,Jukka_Vihriälä,24.3.1999,18.3.2003
"Vilkuna, Pekka",Keskusta,Pekka,Vilkuna,,1999-2003,Pekka_Vilkuna,24.3.1999,18.3.2003
"Väistö, Matti",Keskusta,Matti,Väistö,,1999-2003,Matti_Väistö,24.3.1999,18.3.2003
"Ylä-Mononen, Jaana",Keskusta,Jaana,Ylä-Mononen,,1999-2003,Jaana_Ylä-Mononen,24.3.1999,18.3.2003
"Hyssälä, Liisa",Keskusta,Liisa,Hyssälä,,1999-2003,Liisa_Hyssälä,24.3.1999,18.3.2003
"Backman, Jouni",SDP,Jouni,Backman,Ympäristöministeri,1999-2003,Jouni_Backman,24.3.1999,18.3.2003
"Filatov, Tarja",SDP,Tarja,Filatov,Työministeri,1999-2003,Tarja_Filatov,24.3.1999,18.3.2003
"Gustafsson, Jukka",SDP,Jukka,Gustafsson,,1999-2003,Jukka_Gustafsson,24.3.1999,18.3.2003
"Haatainen, Tuula",SDP,Tuula,Haatainen,,1999-2003,Tuula_Haatainen,24.3.1999,18.3.2003
"Taipale, Ilkka",SDP,Ilkka,Taipale,,1999-2003,Ilkka_Taipale,24.3.1999,18.3.2003
"Halonen, Tarja",SDP,Tarja,Halonen,Ulkoasiainministeri,1999-2003,Tarja_Halonen,24.3.1999,18.3.2003
"Hiltunen, Rakel",SDP,Rakel,Hiltunen,,1999-2003,Rakel_Hiltunen,24.3.1999,18.3.2003
"Jaakonsaari, Liisa",SDP,Liisa,Jaakonsaari,,1999-2003,Liisa_Jaakonsaari,24.3.1999,18.3.2003
"Kalliomäki, Antti",SDP,Antti,Kalliomäki,,1999-2003,Antti_Kalliomäki,24.3.1999,18.3.2003
"Kähkönen, Lauri",SDP,Lauri,Kähkönen,,1999-2003,Lauri_Kähkönen,24.3.1999,18.3.2003
"Kiljunen, Kimmo",SDP,Kimmo,Kiljunen,,1999-2003,Kimmo_Kiljunen,24.3.1999,18.3.2003
"Kekkonen, Antero",SDP,Antero,Kekkonen,,1999-2003,Antero_Kekkonen,24.3.1999,18.3.2003
"Koskinen, Johannes",SDP,Johannes,Koskinen,Oikeusministeri,1999-2003,Johannes_Koskinen,24.3.1999,18.3.2003
"Kuisma, Risto",SDP,Risto,Kuisma,,1999-2003,Risto_Kuisma,24.3.1999,18.3.2003
"Lipponen, Paavo",SDP,Paavo,Lipponen,Pääministeri,1999-2003,Paavo_Lipponen,24.3.1999,18.3.2003
"Paasio, Heli",SDP,Heli,Paasio,,1999-2003,Heli_Paasio,24.3.1999,18.3.2003
"Rajamäki, Kari",SDP,Kari,Rajamäki,,1999-2003,Kari_Rajamäki,24.3.1999,18.3.2003
"Viitanen, Pia",SDP,Pia,Viitanen,,1999-2003,Pia_Viitanen,24.3.1999,18.3.2003
"Tuomioja, Erkki",SDP,Erkki,Tuomioja,Ulkoasiainministeri;; Kauppa- ja teollisuusministeri,1999-2003,Erkki_Tuomioja,24.3.1999,18.3.2003
"Urpilainen, Kari",SDP,Kari,Urpilainen,,1999-2003,Kari_Urpilainen,24.3.1999,18.3.2003
"Skinnari, Jouko",SDP,Jouko,Skinnari,,1999-2003,Jouko_Skinnari,24.3.1999,18.3.2003
"Elo, Mikko",SDP,Mikko,Elo,,1999-2003,Mikko_Elo,24.3.1999,18.3.2003
"Huovinen, Susanna",SDP,Susanna,Huovinen,,1999-2003,Susanna_Huovinen,24.3.1999,18.3.2003
"Juurola, Ulla",SDP,Ulla,Juurola,,1999-2003,Ulla_Juurola,24.3.1999,18.3.2003
"Kallio, Reijo",SDP,Reijo,Kallio,,1999-2003,Reijo_Kallio,24.3.1999,18.3.2003
"Kanerva, Erkki",SDP,Erkki,Kanerva,,1999-2003,Erkki_Kanerva,24.3.1999,18.3.2003
"Karhu, Saara",SDP,Saara,Karhu,,1999-2003,Saara_Karhu,24.3.1999,18.3.2003
"Karjalainen, Tapio",SDP,Tapio,Karjalainen,,1999-2003,Tapio_Karjalainen,24.3.1999,18.3.2003
"Kautto, Tarja",SDP,Tarja,Kautto,,1999-2003,Tarja_Kautto,24.3.1999,18.3.2003
"Koski, Valto",SDP,Valto,Koski,,1999-2003,Valto_Koski,24.3.1999,18.3.2003
"Lahtela, Esa",SDP,Esa,Lahtela,,1999-2003,Esa_Lahtela,24.3.1999,18.3.2003
"Laitinen, Reijo",SDP,Reijo,Laitinen,,1999-2003,Reijo_Laitinen,24.3.1999,18.3.2003
