,name,party,firstname,lastname,position,key,start_date,end_date,hallituskausi
14,"Pekka, Haavisto",Vihreät,Pekka,Haavisto, Kehitysministeri;;,Pekka_Haavisto,22.6.2011,24.6.2014,Katainen
15,"Anna-Maja, Henriksson",RKP,Anna-Maja,Henriksson, Oikeusministeri;;,Anna-Maja_Henriksson,22.6.2011,24.6.2014,Katainen
16,"Krista, Kiuru",SDP,Krista,Kiuru, Opetus- ja viestintäministeri;; Opetusministeri;; Asunto- ja viestintäministeri;;,Krista_Kiuru,22.6.2011,24.6.2014,Katainen
17,"Merja, Kyllönen",Vasemmistoliitto,Merja,Kyllönen, Liikenneministeri;;,Merja_Kyllönen,22.6.2011,24.6.2014,Katainen
18,"Ville, Niinistö",Vihreät,Ville,Niinistö, Ympäristöministeri;;,Ville_Niinistö,22.6.2011,24.6.2014,Katainen
19,"Henna, Virkkunen",Kokoomus,Henna,Virkkunen, Hallinto- ja kuntaministeri;; Liikenne- ja kuntaministeri;;,Henna_Virkkunen,22.6.2011,24.6.2014,Katainen
20,"Stefan, Wallin",RKP,Stefan,Wallin, Puolustusministeri;;,Stefan_Wallin,22.6.2011,24.6.2014,Katainen
21,"Ihalainen, Lauri",SDP,Lauri,Ihalainen, Työministeri;;,Lauri_Ihalainen,22.6.2011,24.6.2014,Katainen
22,"Stubb, Alexander",Kokoomus,Alexander,Stubb, Eurooppa- ja ulkomaankauppaministeri;;,Alexander_Stubb,22.6.2011,24.6.2014,Katainen
23,"Guzenina, Maria",SDP,Maria,Guzenina, Peruspalveluministeri;;,Maria_Guzenina,22.6.2011,24.6.2014,Katainen
24,"Haglund, Carl",RKP,Carl,Haglund, Puolustusministeri;;,Carl_Haglund,22.6.2011,24.6.2014,Katainen
25,"Rinne, Antti",SDP,Antti,Rinne, Pääministerin sijainen;; Valtiovarainministeri;;,Antti_Rinne,22.6.2011,24.6.2014,Katainen
